year,ANZ_p25,CAM_p25,CAN_p25,CHI_p25,EEU_p25,FSU_p25,JPK_p25,LAM_p25,MAF_p25,MDE_p25,SAS_p25,SEA_p25,SIS_p25,SSA_p25,USA_p25,WEU_p25,World_p25,ANZ_p170,CAM_p170,CAN_p170,CHI_p170,EEU_p170,FSU_p170,JPK_p170,LAM_p170,MAF_p170,MDE_p170,SAS_p170,SEA_p170,SIS_p170,SSA_p170,USA_p170,WEU_p170,World_p170,ANZ_p500,CAM_p500,CAN_p500,CHI_p500,EEU_p500,FSU_p500,JPK_p500,LAM_p500,MAF_p500,MDE_p500,SAS_p500,SEA_p500,SIS_p500,SSA_p500,USA_p500,WEU_p500,World_p500,ANZ_p830,CAM_p830,CAN_p830,CHI_p830,EEU_p830,FSU_p830,JPK_p830,LAM_p830,MAF_p830,MDE_p830,SAS_p830,SEA_p830,SIS_p830,SSA_p830,USA_p830,WEU_p830,World_p830,ANZ_p975,CAM_p975,CAN_p975,CHI_p975,EEU_p975,FSU_p975,JPK_p975,LAM_p975,MAF_p975,MDE_p975,SAS_p975,SEA_p975,SIS_p975,SSA_p975,USA_p975,WEU_p975,World_p975
2010,-6405453755.264,-17404286189.312,-21280738006.1623,-259224246297.033,-89441317585.92,-156374553885.289,-137295894058.715,-29720909264.896,-14058657904.512,-34429629047.8215,-192086469632.91,-71382972210.0297,-11395116718.72,-31209951070.7931,-307557776244.736,-256323403077.632,-575031477848.074,-3641977869.6856,-9345088789.2992,-12129653014.3705,-121245691523.964,-45330624121.3586,-57400951674.4704,-62121049650.8322,-13119951501.7801,-4769168107.47274,-10873669277.0375,-80309666511.1616,-38342924920.4224,-5978304290.029,-12160638183.2807,-169049752703.249,-88851129315.9182,-298292790255.341,98584918.9333257,-2563783925.93887,-1745787942.05407,-27991281722.5143,2486032597.94276,-5734504478.11771,-5986851949.88875,-1492735413.76,1724353728.84684,11162735469.4817,10594080038.6645,-7444176209.60699,-2140658275.2,-247041697.693341,12216111039.6029,10913082286.6992,80014457082.4531,4807937577.50199,6394824099.1724,10173711473.0118,69163365676.2942,59695363350.9762,68727104965.7106,64787297363.8527,13047710676.1747,8167622789.41257,31441224927.4139,117702970066.533,16137905137.6086,3724582126.53347,14918574696.9258,221739062779.902,128721223459.634,439437343318.74,8986860067.9782,17646471277.908,21184311646.6806,196649918711.772,141987495198.717,135956243557.815,198120714647.809,44856368810.6666,14245406669.1836,75518429519.8718,218554831591.421,61547415457.7913,15600891679.4877,29354989268.7361,556485838612.919,333499642789.887,634482668486.737
2011,-7649053982.93164,-16786655435.52,-31315230626.816,-208740986789.888,-87733992081.3732,-97075532137.472,-188168499145.8,-37334590923.9223,-12675444484.6397,-33198827353.5274,-244827311300.608,-119282654253.611,-17137153506.9345,-41737929706.9349,-370267878939.277,-222453151905.792,-576962625837.189,-3907803634.2272,-8123790071.33989,-17232310707.3065,-105867258842.035,-32868467172.5514,-56604276562.3296,-79239815982.1918,-15672077624.8342,-4893211671.16297,-12814387256.7296,-62857247566.0297,-32671835938.8625,-5524267107.92665,-11598248496.3829,-152245287877.144,-80702981461.9411,-170615313335.939,2082578717.70413,-2402782860.29695,-3834853841.04804,21343726387.1999,-322686736.400058,6008087385.23415,-7983866231.49693,1211055572.57749,2174900992,13824335958.283,40226149966.957,246891679.697541,-1197780747.85636,5303937899.9168,36480053759.5465,25422020822.8935,179927691889.857,6309850399.52213,5587733421.66277,7915018399.53905,183644021762.798,41209833113.5019,55048345537.9456,55035756735.1898,14219794636.4128,8846784911.76697,42166903309.7682,136373828873.491,48866021722.3851,2792388563.40475,19250614442.6275,259614985432.813,139430371549.405,564940631742.123,9469234725.76912,22695497977.7086,26634497051.6745,346894225649.979,137557070742.302,165124992558.224,298713289900.018,77713875944.789,27267638124.43,78786220818.4316,336573485197.993,209429798805.502,6894092697.96971,34853802539.8853,516536011128.794,336129563062.193,1125565771074.78
2012,-9445767334.05867,-18655306662.5707,-24924955188.7651,-280345629174.443,-149540597359.343,-129682488820.736,-154840048405.451,-34060282721.792,-19271709873.076,-52866444230.656,-300124205424.64,-126284426767.019,-18095201231.7932,-34660395044.1813,-368322635988.849,-330334342985.558,-718938493406.542,-4500988519.32948,-8994511167.1808,-15995700416.6372,-122835478242.918,-42383409974.0087,-72364588451.1963,-38162350516.5594,-16235649961.142,-6084477588.2752,-20739292588.5701,-162549613894.042,-45738816298.6145,-5648456198.96862,-12809755855.4917,-146636994358.521,-111969033546.957,-277084733270.866,526343369.666121,-1100533412.57144,-1657226108.08742,15653095763.3821,-3315264543.74572,-10949212376.8736,17569547050.8556,-2794652070.76572,2075419258.88,8802018163.99359,5692139164.28609,-15045506756.9231,-1036932749.86667,2232124399.72018,45838775526.3511,-6527734213.97339,80073981029.4394,6425410072.78074,5877352127.59828,9571198659.78878,222850613346.304,21192831053.8825,51709134294.688,120938482005.879,9941347817.472,9112517839.63569,36810088440.967,150444960042.001,20470215933.3848,3107903364.31542,19032033041.0121,259566149912.867,66141837463.4349,417992186293.842,12202461256.4451,13526612809.4354,21063356674.048,339411569795.069,130184977600.506,172176593060.548,202609549223.437,19834255308.5763,15951228850.6879,102290856701.146,293088313018.84,60195181783.5518,11601800478.1347,45567945950.7195,633014181279.451,141751471570.942,730411862131.344
2013,-9094171926.7448,-15064945236.3977,-34209344855.4201,-309654918014.818,-93459914414.9577,-132580433897.859,-122565393825.089,-40592612420.608,-10370297492.7975,-30475162824.5414,-172795398212.267,-61460172586.2957,-13548737632.5869,-24145260478.1714,-313055743788.94,-231165292902.107,-536584378093.036,-4158404946.0992,-5766727118.60706,-16805875967.6581,-151766071161.651,-33393030035.8656,-73796688489.4606,-67094355447.8275,-21199412340.1374,-4152399463.872,-3022386046.02027,-37817696781.7682,-27305919326.8907,-3926530170.79057,-7130876110.62745,-181841614417.647,-81572655204.6445,-161904448830.281,1847417949.43999,2936090988.15943,-3765820835.61208,-4834258620.0318,-3275821158.40001,11369189883.1607,-5422898339.0855,-3309522150.76633,2969013075.28384,19097053184,45347114175.1467,-1285007870.29338,-260446705.600006,6843925740.8,54694507518.3718,22373971476.48,161793595245.61,7160833988.608,13877856327.3019,6964635867.00797,110664409393.999,26465277993.4281,53559194698.1706,59373952915.8653,17329612233.2306,13421833531.1771,57794669386.2521,192809665051.853,40547302309.8878,6239972091.12582,23862063261.7188,301798670014.048,87073416918.3151,516778527173.741,21199951903.2571,27678847991.8079,20871989341.3019,244020010700.636,85375922873.4889,112063344015.761,137265597454.323,54875788650.4955,20093696373.4186,97553468997.1891,472665954168.824,162490061586.432,23952023006.4639,59241912914.4317,547228114152.106,197168361178.66,878022971399.582
2014,-10796958394.0782,-15633702350.848,-34454019342.8086,-256206322910.686,-130913137298.222,-140625965714.222,-115801519239.043,-29901464641.4276,-17953009613.0236,-31222233801.3342,-230645833515.008,-103113334750.062,-14217325355.8741,-30317510864.0183,-425047626665.669,-279499261972.187,-675494999600.48,-2654112121.06041,-6567734682.8288,-19187663613.1328,-116462351933.44,-42461145726.0383,-63390856060.928,-38500535236.9216,-10726778364.2453,-7943624095.55841,-11446511229.6302,-94337678319.7233,-18632231634.9538,-4098265547.6992,-10417244978.1934,-148202049280.41,-79732187048.2826,-135817091471.215,3655248497.46724,3421419486.07998,-5328079150.81144,17719185029.1199,10176905971.2,-9610003234.5953,46819339445.3939,7773089761.28,240617381.189176,16495379651.5085,44345249706.8279,18722940815.7276,789844769.828571,6360003563.52,117127323291.826,27398716902.7663,281081382331.268,7371607586.84683,15901879136.7313,10040576371.7004,123415781853.926,36106368222.0032,84647740933.3562,121939233885.921,22284340411.1557,8160974210.30399,48893374429.0465,179442053653.024,76893897680.2675,6591834722.39517,22627446652.5183,328876135725.464,120504795390.586,676490212304.305,15020010942.7179,54185445960.8842,30707562244.4368,227310255527.015,73301408580.2509,146100593866.844,217849660809.214,81360457499.0517,18564745576.7406,108430473258.926,319806841881.721,129285956400.125,41152300297.6138,106138460528.454,503523786264.576,233826098216.958,1071030698827.33
2015,-11901205253.12,-18846942631.275,-32233300731.904,-315146125925.239,-107523721774.058,-163141398798.336,-193297499320.32,-32579141971.9138,-20249152423.3437,-41061565900.6425,-331389085422.933,-73371272814.592,-12916606265.7829,-36698109240.4265,-515000210391.04,-213769140279.351,-668250600748.672,-4516048771.72628,-9409380564.55964,-19188299380.6775,-136250159570.123,-36811650954.1342,-76279269770.1522,-54687214540.7512,-16256489001.1648,-7934704301.13149,-12782626900.992,-117592505832.459,-17007002242.2528,-3837176242.176,-8989460142.81259,-167756878143.81,-68395422090.9909,-154238177307.749,1982624455.68,12002671.0399907,207564272.319998,21411513951.573,419423218.102752,1203696737.27999,13305855738.4105,4828106831.35994,-436948829.252783,14357316313.3354,14675751854.0799,21735386377.3609,233839265.907789,8292335257.59999,77277590998.3817,16259538339.84,354852905059.344,8703995886.11385,12841208008.3066,15380519514.8287,224288768157.284,44140163904.7164,69549412388.7152,76425891400.9087,30428913046.1181,9286594651.69912,52786800097.3115,197187239662.387,67851262521.4608,6132162098.7935,31306538584.4736,322419171648.134,121846940407.424,632955102392.124,21630003923.5073,37138393324.5436,32231419090.432,377764064311.003,69970424379.044,127867975122.944,210096122369.364,88357411386.3673,20244495281.2977,141163791319.04,441700722003.968,126848418125.351,12799751313.1151,65309549045.7394,730891910873.061,232010891618.985,1031997398349.39
2016,-9404077794.67373,-14330273529.5153,-28125454955.0811,-277030465390.885,-105629541451.213,-169904919632.75,-191256710758.4,-40818231099.3399,-20433338251.7622,-37521901698.8897,-358671056785.408,-98652582592.7267,-9091529220.48,-36033145617.1312,-339227462860.8,-281596368325.422,-655557973745.825,-1198683585.62987,-5439837308.04144,-15447612761.0581,-157877833780.098,-46845780546.1211,-85945682087.1168,-50984710918.0075,-16493688603.7687,-9156986997.51406,-14155486390.0672,-141982676318.396,-20805766229.0603,-3619744347.25303,-8540672124.68907,-126787833820.891,-104492065187.899,-117325502645.056,3191595238.76628,3227249359.16056,-3383538042.88003,39353722075.7772,-1594032042.05717,-9265458739.42391,29792862403.3577,11729126308.6277,2558592924.50654,19012439203.84,62513273277.2174,24608653621.7164,2559186412.43668,12839831786.0571,114767674245.12,25677594538.742,331208946025.211,9199968605.97381,14306564565.6064,11716396378.3041,283502177076.603,42997323655.4439,69289443912.9073,101910350390.285,36892265316.2085,16806893418.5513,57390700181.4094,252507432075.263,80056083496.9598,9840856441.00743,30885837663.3736,373030162215.731,110752164681.21,760196091144.773,26580736857.6203,28123171068.6917,20455602887.5734,552161877786.615,174430334216.185,203846846481.643,234281241265.891,70470458074.2572,31570035315.642,201015559579.227,490875104591.872,162970002726.011,15878189640.5331,85212799536.0244,650110884831.227,376029838962.685,1741447270512.7
2017,-10558481974.5646,-17252375125.7946,-27590507835.1771,-373749346822.708,-133299219385.348,-163947470225.47,-155591317405.624,-45436060286.1685,-16111842063.7762,-46281666190.6773,-249792159932.927,-133844431337.352,-13341819578.8922,-33451133589.6318,-351132359139.328,-294916397027.999,-238743951893.148,-2027851240.6272,-7389190298.8544,-14739451651.2768,-143914021476.902,-35906082302.976,-69498994863.5614,-42195815415.3399,-14755700318.5006,-5621071924.608,-4758355900.51839,-26899333171.3024,-30739182485.9995,-4000867479.936,-7701586054.8945,-34700671409.152,-94680992480.4608,135415607213.317,3788647383.70745,2383448234.34403,-1598115855.75385,64058391604.6625,699959633.601346,-5979727638.74516,7223678060.99508,8788566552.31998,3682622612.14626,22033451192.32,133536829407.348,17591593184.1421,2341075407.56756,9791151776.91425,209845036084.663,29868618424.8619,552774577343.359,13899551172.3482,17350710273.0082,10961099891.0657,270936100435.83,53614812073.1647,64740374692.924,104144580132.863,36130812780.2694,13998122109.4351,51412486887.8335,253678481005.042,74904071857.2622,10814930903.0399,32277881086.8167,441972725364.337,135493337931.944,955358019511.117,19822337599.1952,51922978989.8677,30334358165.7971,635493545355.915,126592943589.868,169011984878.248,195481305794.85,176457397722.883,23979499435.1048,223650796643.265,456382876263.56,189010337860.134,20895162891.9954,118787857190.679,601987334357.589,238401433868.288,1393037917523.56
2018,-7866335031.296,-15536966518.016,-26809197168.2376,-379205863037.806,-129011880208.825,-159969392703.166,-171907621052.927,-37434967210.7717,-15959853514.1868,-26241857355.9453,-254173335300.779,-74177275485.2833,-13080709612.3077,-22569223382.1623,-183281105277.513,-359999667086.263,-451245857685.341,-1601265562.97058,-5934967453.2304,-15059829641.2339,-139261255212.328,-35011773548.633,-38202789616.8435,-44464462798.2131,-10881860959.188,-5640096129.3824,837649547.505756,-34455777395.9168,-31389006516.224,-4900297076.4288,-4971323822.38838,24949409146.0023,-82093787305.9255,217886252329.692,3857228210.26391,4676927221.83742,-701077756.768826,38015656249.0128,15799381223.1314,40245711792.6351,18070704013.7183,9693588686.75354,3928562246.65403,21828879311.6068,100823727424.17,21235355121.3714,2003144478.32615,17081859557.8677,249680211485.065,51856868915.1997,588077084373.12,10410267995.8088,15520320003.7888,18680636792.8447,233217017826.322,69138417453.5817,127945554474.247,79219699661.7275,36949168037.8876,13634017974.692,57375960322.8672,246365058774.747,64001571896.7137,9498589146.98888,40472732967.3052,457646804134.249,148729970604.441,959414085652.447,22348399644.2607,31511804093.4398,30948237021.7597,531893852282.879,106591331324.359,205433727795.2,186714044973.055,110440696748.71,25487576086.5277,194784916461.219,447003124718.575,141976662296.868,24080813536.5972,73780105816.9849,840666175466.924,246847063767.825,1649632835259.04
2019,-6015920092.352,-17459090707.6751,-33871997157.841,-413852398449.143,-107136993453.055,-156814347547.5,-118832720150.528,-38578523767.552,-12321719048.5469,-22363174718.464,-190764192278.766,-77029443012.9043,-8569649037.62708,-29315571765.4261,-174220106320.042,-382977581523.672,-706777128070.336,-270778497.064001,-8040871138.88978,-16441813174.6208,-171795877562.505,-54216627719.0073,-43240533845.0054,-27021362155.8782,-8030776607.79126,-2193890703.62331,-1310368577.7954,-60279806001.7095,-15040823009.6065,-1683507439.27531,-11154582962.9637,-44637795567.2064,-104406023454.875,4604149189.83681,4906534973.43999,831873270.537359,-2679411575.24961,7365796312.61534,5443552889.53762,21674148596.1846,45896677646.2448,10365001318.4,5466320607.03335,27857104322.5599,106937592732.525,26266578587.826,3953513028.71833,13052741113.6985,245226900965.668,5556495445.33326,626601619999.68,11112751266.0844,18036416327.4088,16417786649.4935,149907249685.485,66786496373.5546,91824142820.03,118633741148.546,36567083381.672,16621715991.7056,65924864571.2924,211103323110.017,78096536313.1513,12099298682.368,33996238332.1254,547168541750.067,114055852376.473,1169949113722.23,18820506471.9465,34089462692.3297,30021163474.432,1118553638223.87,114161560973.552,197199709212.671,263513131396.132,73766245736.4096,31955770622.7411,245216152029.566,497044739056.119,141923758768.128,57115787460.096,98474176172.1566,809598345052.156,236683910662.675,1731947977440.76
