year,median
1981,-0.00036180002192500024
1982,-0.00016774664197420001
1983,-0.0001799345131873
1984,-0.00015771798217169999
1985,-0.00016600136166250001
1986,-0.00010437832027955
1987,-0.000147616323700355
1988,-0.00015486053856730001
1989,-0.00013889069664504999
1990,-6.3003201243200008e-05
1991,-8.7696120900600006e-05
1992,-0.0002256384049259
1993,-0.00013589860970340001
1994,-0.00011485440479265
1995,-0.00013140108528769998
1996,-0.0001208755274808
1997,-1.0260574459999997e-05
1998,-2.5486910148499999e-05
1999,-3.4037589091049995e-05
2000,-0.00011747436690399999
2001,-8.405614698277e-05
2002,-5.0828732226564994e-05
2003,-7.3447037634944996e-05
2004,3.3376259232000033e-06
2005,-3.0570328022000047e-06
2006,1.7263073545505e-05
2007,-6.3313127884000012e-06
2008,7.3786323770250005e-05
2009,2.8044967819599999e-05
2010,-4.9698719329999968e-06
2011,-6.7457683302250002e-05
2012,-4.0466799142550001e-05
2013,5.6740464871949998e-05
2014,2.8993049134749998e-05
2015,5.2326604695500009e-06
2016,-2.0623702084999996e-05
2017,7.308081410149999e-06
2018,8.2396726689999965e-06
2019,2.7875784427149992e-05
2020,-5.8510420097499987e-05
2021,-5.0229898307549999e-05
2022,9.5843294110000016e-06
2023,-4.17346601595e-05
2024,3.368670689849997e-06
2025,-4.8376981201450004e-05
2026,-7.3261752889999939e-06
2027,-5.7621336311449991e-05
2028,-7.9700236036499996e-05
2029,-8.3685806158499991e-05
2030,-8.2756374226249996e-05
2031,-0.00013039324268224997
2032,-8.1082560729999996e-05
2033,-4.6155740821999998e-05
2034,-6.35811010115e-05
2035,-6.5120838718700001e-05
2036,-8.5458323179499987e-05
2037,-7.7194532052999985e-05
2038,-0.00014319716773596999
2039,-0.00015582818069049997
2040,-9.5218403902000003e-05
2041,-9.7846315391999977e-05
2042,-0.0001308849926355
2043,-8.7925151924500008e-05
2044,-0.00013143121179549997
2045,-0.00012671643889650001
2046,-0.00015302724751149993
2047,-0.00011915369322550001
2048,-0.00012355979400299999
2049,-0.00012765666806199998
2050,-0.0001576059019445
2051,-0.00015001579740499997
2052,-0.000141421253143
2053,-0.00012830684167450002
2054,-0.000161098384208
2055,-9.3712747929999984e-05
2056,-0.000167386201863
2057,-0.00018078551292099998
2058,-0.00015780278267499997
2059,-0.00018189994496700001
2060,-0.00015859196762700001
2061,-0.0001795733499285
2062,-0.00018206515886849998
2063,-0.00016408166417099997
2064,-0.00019387127236749997
2065,-0.00019905345327950001
2066,-0.00020926237926399997
2067,-0.000211535900345
2068,-0.0002079682187955
2069,-0.00020797950805100001
2070,-0.00020951329159349998
2071,-0.00019087164488000005
2072,-0.00017073333981850001
2073,-0.00019374877174049997
2074,-0.00020721683909899998
2075,-0.00022617521425100003
2076,-0.00019432802580149997
2077,-0.00020566133518550004
2078,-0.00020424230683399998
2079,-0.00023224834914400001
2080,-0.00019984991489950001
2081,-0.0001943376323155
2082,-0.00022041254708750002
2083,-0.00020468395233099999
2084,-0.00021981167439999997
2085,-0.00022666734030599996
2086,-0.00023940602874499998
2087,-0.00022290536894400002
2088,-0.00023923952492949996
2089,-0.00023490361217050001
2090,-0.00024894385248649996
2091,-0.00023916219563050001
2092,-0.00022712813492250001
2093,-0.0002444954147415
2094,-0.00024892109379850004
2095,-0.00024555329947399999
2096,-0.00023642897824999997
2097,-0.00025832879868099997
2098,-0.00021577292536600001
2099,-0.000247548896102
