"method","binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
"fullba",-Inf,-17,-12.0296382223064,0.101023244072911,0.891928787301774,0.200018646206054,41.127263661359,0.531662202968706,2.8195199942838,2.57043315318885
"fullba",-17,-12,11.6765228825555,0.0794180345566751,-0.384246091340992,-0.884513541308138,11.7367855401779,0.0846297267204098,0.800611080422062,0.731822510704234
"fullba",-12,-7,1.88742847257438,-0.0596060214444382,-0.740843782226713,0.525583232345823,5.65193506394,0.0299713135469143,0.375276534708075,0.364958967313327
"fullba",-7,-2,4.10014060978955,-0.0018062649232692,-0.214130233355775,-0.228270104304801,3.91614833070783,0.0156303731616325,0.275291273934915,0.260937067978047
"fullba",-2,3,-0.844997301992398,-0.00224671776611227,-0.0308604621413252,0.116360091320912,2.30506637296059,0.00793745031299199,0.167011147945581,0.16812297672828
"fullba",3,8,14.0009308364079,-0.0433299639924594,-1.59966742829812,-0.0718645881868183,11.1353094738071,0.0273765802141375,0.994398018299151,0.611452861017699
"fullba",8,13,-4.62648407160472,0.00409901218657461,0.467880246528816,0.111489254890625,13.1442255389838,0.0256824461561395,1.15710315512914,0.62635642401725
"fullba",13,18,4.16673353338681,0.0042558091754837,-0.209578826812588,-0.308303551099485,3.26802452075971,0.00471760745227499,0.228811011546457,0.208528432657349
"fullba",23,28,14.5942346279796,-0.00281326766850055,-0.842598873037267,-0.839603555253338,5.87433839818304,0.00340712180793281,0.404971792556138,0.369081248817312
"fullba",28,33,-5.00917951442754,-0.00202352652927594,0.271590175839019,0.365635858587404,13.4892326288658,0.020622267116749,0.891807442034985,0.906672007749393
"fullba",33,Inf,7.91961793262634,0.0977743496257229,-2.02398122822368,0.921839993010331,88.330635961151,0.691236553526426,6.27978314397171,5.49352399082631
