"method","binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
"fullba",-Inf,-17,7.53400136181148,0.131062627751603,-0.457902767407314,-0.800140134537027,29.1002009852472,0.561001944676285,2.24994364316993,1.80913083799049
"fullba",-17,-12,11.4430786813445,0.0947062758634873,-0.363716009394198,-0.881586341994935,11.0844999911739,0.0851100766566824,0.76903371218874,0.716185538805685
"fullba",-12,-7,2.12719562031444,-0.0526875596179161,-0.748519533981538,0.501696730486014,5.54513399706019,0.0314639028212915,0.380539044651575,0.355807271947291
"fullba",-7,-2,4.05760630992699,-0.00184782930117222,-0.209024878532499,-0.228251365248155,3.88048290281552,0.0155143128780335,0.274526868244002,0.257186744821018
"fullba",-2,3,-0.717307090727052,-0.00264129829559149,-0.0511357983302168,0.11852667895369,2.25568869003697,0.00748168864744988,0.156886267228676,0.165506691527691
"fullba",3,8,17.0151374070089,-0.0481946066538567,-1.88057185211481,-0.15084140038524,12.5387377667331,0.0307236835551825,1.14099380019177,0.638528971791526
"fullba",8,13,-4.283498045394,0.0045126015433371,0.45275218503954,0.0846956911811355,12.9542781593265,0.0264000828505737,1.17802473481169,0.558017603690212
"fullba",13,18,0.990461320650393,0.00470130262830411,0.0289059645593231,-0.159728544938483,2.64135024324151,0.0036070823679497,0.18228925678382,0.170160363611768
"fullba",23,28,10.5213998061927,-0.00355603967625556,-0.481343627594179,-0.682657283178597,5.27748142748456,0.00347280834472113,0.370193450978404,0.339298314601822
"fullba",28,33,-2.96006448690158,-0.00357565539312133,0.255652705892086,0.177152580491167,12.7130923438618,0.0191272787797418,0.816822964665823,0.857636537209478
"fullba",33,Inf,-0.61684567656552,0.0845638627929764,-2.08585040684687,1.83712323238758,26.9386505899875,0.757901258953841,3.42801677545785,2.76903212484201
