"method","binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
"fullba",-Inf,-17,-23.3480083068902,0.0473547990047378,1.03335016373963,1.19974867965112,43.972535385058,0.621634834674025,3.02508117027432,2.8386743946148
"fullba",-17,-12,4.90250012276153,0.0695635868437407,0.223547698648899,-0.620622231603094,19.528893479794,0.141334772994227,1.3516106465588,1.2184488672018
"fullba",-12,-7,3.72197356641061,-0.0708661600010007,-0.847119343070582,0.424974511095937,5.94151264391156,0.0320218380910698,0.407476759714608,0.385223581146241
"fullba",-7,-2,2.91774069563441,-0.0067023355404025,-0.164000736352823,-0.140228270005815,5.02646027510406,0.0194824034164089,0.351112352069071,0.333773578335848
"fullba",-2,3,-9.49188954086231,0.0221234771522617,0.574489820349752,0.459365720165989,7.91984670069845,0.0244540954465892,0.588876922531141,0.537935310593283
"fullba",3,8,2.38976533706972,-0.0215086026534646,-0.54818783010464,0.254428045783273,3.62672483708767,0.00935620472629345,0.281680947616464,0.251017175001008
"fullba",8,13,-17.0030114928458,0.0276394766394842,1.57326172829785,0.444960057434844,13.2596913389313,0.0300821531846007,0.953097725511373,0.949092628394069
"fullba",13,18,8.42114135774963,-0.0017684550804857,-0.644018161017722,-0.398391510607119,5.5839345932179,0.00807236439754522,0.391375770681752,0.354690398500326
"fullba",23,28,14.4669438047612,-0.00257590836681672,-0.858775305913978,-0.822368364491244,4.8064477134989,0.00334206964963299,0.341684587465364,0.323497818273037
"fullba",28,33,2.82542393241211,0.00627529712159989,-0.516449670206108,0.113455117282884,11.3092868167017,0.0182513346681707,0.768430813026897,0.768356135184198
"fullba",33,Inf,42.6714677646117,0.0678251646669395,-4.39313439525672,-0.892836369958089,81.7437588294488,0.692350906413084,5.53186896737777,5.26655639139659
