"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,-0.138007401781383,0.0624079319346282,0.0465346572699048,-0.0323828098944099,1.08233824446405,0.031009794203041,0.0746909882550709,0.0739640176490302
-17,-12,1.52667086485775,0.0354841659851676,-0.00125488955493511,-0.184229902342189,1.3452723408792,0.0239461054027888,0.0928163424950481,0.0959780920975772
-12,-7,2.35255288322363,-0.0801809393899357,0.47576512248064,-0.769668276407804,1.96543602835522,0.0175100137019053,0.133935731491834,0.130864499544164
-7,-2,0.0779519052545431,-0.0406219558436984,0.334933235086926,-0.351040395378609,0.901086618806871,0.00645609865685148,0.0804523873283231,0.0570496711449239
-2,3,0.456149763438155,-0.00143012810590958,0.0475604680672341,-0.0973053747960759,0.647559947926513,0.00256800971024389,0.0725887150806191,0.0307588578423818
3,8,1.03057144289818,0.00301912296343761,-0.0472399691644859,-0.0734533802998959,0.809912170449971,0.00245113464076394,0.0984460783120353,0.03764450525238
8,13,1.35566986658732,0.00066626170276482,-0.122026344016617,-0.0110110937982671,0.797204570661653,0.00196144502373412,0.0963126177873426,0.0361485795434188
13,18,1.08031200150811,0.000551194719408067,-0.126742720459826,0.0218914572122142,0.56394653004134,0.00130305610075121,0.0608288730014167,0.0263682311519917
23,28,0.636844517456416,-0.000927774891881941,-0.0702689076951773,0.0318397991149403,0.94515843307982,0.000749766736548035,0.0813085764171922,0.0475877090795318
28,33,3.02590982227747,-0.0299920675257519,0.199282175497965,-0.416905046410082,3.18664472886593,0.00516367665437838,0.202620185800218,0.205389743336762
33,Inf,-0.112800161129289,0.0651672370139502,-0.00126393943995702,0.0216259233438205,1.48690233433886,0.0205300419059666,0.0965977509611978,0.100313335113522
