"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,10.0168044265227,-0.0561973792250795,-0.282735999544797,-0.799830064800287,2.2238935129472,0.0383606679824036,0.254514061613209,0.241229795194783
-17,-12,8.3057508589418,-0.0373876591321788,-0.231311053989938,-0.676091022858082,1.78908501833859,0.0309128445680381,0.192723811046439,0.156832894432206
-12,-7,6.60445836966538,-0.122343442203378,-0.132502753988598,-0.357341191530002,1.40006763183352,0.0158685421708429,0.160868989841683,0.122005678233048
-7,-2,4.90826852985167,-0.0430866087624823,-0.249569124472265,-0.169581320168096,1.06191393437073,0.00609623580451429,0.126791820964048,0.0681450099759296
-2,3,3.31388987915512,-0.00268955651079838,-0.280192633208638,-0.0150043463617514,0.767264675576556,0.00259605542487143,0.0918896611666528,0.0391137774567591
3,8,1.92585513690348,0.00284926414163154,-0.154644712287594,-0.0413442369323932,0.514052313106498,0.00268575364207466,0.066274319281159,0.0385071101970181
8,13,0.79842417055944,-0.000147439986606728,-0.055476521608085,-0.0194555665917947,0.275385825642891,0.00182017743592296,0.0421018338044972,0.0314733012602588
13,18,-0.302634397679864,0.000328291870276883,0.00809817511432172,0.0238909273935972,0.269464998870793,0.00135671431422087,0.0348137222914931,0.0261571200702081
23,28,-0.467123226211973,-0.000191184407774659,0.0369018852963057,0.030014831591056,0.543430359830403,0.000640904252513078,0.051803190319193,0.043136375826743
28,33,-0.582946980242993,-0.03214199227761,0.253650942745045,-0.00072936856344234,0.873694847978854,0.00525612925710088,0.0862272608606137,0.0981833203776814
33,Inf,-0.698605118898841,0.0260450913812687,0.0792336761482496,0.146371883066495,1.25953443542021,0.0276688201213029,0.17342193258721,0.217498030901203
