"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,6.13616657160548,-0.052621658715746,-0.0729903805444895,-0.562635665565197,12.1123017236547,0.0696042672657126,1.09037201503095,0.497287736013628
-17,-12,32.5686967499626,-0.07647615738369,-2.11544423841831,-1.26031304885944,8.88664418802584,0.0452463602482136,0.803003867829336,0.356542591755186
-12,-7,20.5246805881877,-0.11435510649432,-1.44326737366713,-0.410716757724878,4.64202757654451,0.0163794069178111,0.449499524369806,0.228796276777271
-7,-2,7.5548438751201,-0.0420479539169928,-0.550943314936773,-0.104400232430292,3.09072948313378,0.00673025095067109,0.35981889212579,0.111078557431876
-2,3,3.61755519301126,-0.00248393757813549,-0.322390188923003,0.00277848753581813,1.9141560324483,0.0028218016952993,0.223627972159384,0.0653520007188033
3,8,1.5884161058679,0.00255221462114957,-0.107368648422864,-0.0597711331395977,1.36085632960977,0.00238754855030144,0.154721961693512,0.0485022819752248
8,13,2.02262837903479,3.0666026617106e-05,-0.192604529504565,0.00557184629929585,0.740662680111905,0.00144706037044838,0.0880343553418659,0.0308211063007296
13,18,1.41798760380189,0.000733001068949601,-0.167435558515273,0.0314659808974874,0.399925107899529,0.000956275711633107,0.0419636913835501,0.0191954531439588
23,28,-0.838152711158536,0.00095323408962097,0.10071330188749,-0.0145265204324174,0.526062793130564,0.000400903280565006,0.0457466549915443,0.0298263021086308
28,33,2.28172981555773,-0.00565165789601302,0.185825631726923,-0.371903421903551,1.17814353808827,0.00101565607213545,0.0738940157894567,0.0753514978833805
33,Inf,15.5443822617417,-0.0664754420674701,-1.39978329564059,-0.0371254831970751,11.7388689413103,0.0528513877536917,0.748586507726259,0.715044247908087
