"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,6.19172660650429,-0.0503019498198011,-0.0872022045654658,-0.55141578434476,12.517370514807,0.067370493052851,1.12201506300335,0.491879903133944
-17,-12,32.4007288883108,-0.0761795599488069,-2.11035209895909,-1.24449114322881,8.82096144016811,0.0477504711907469,0.805621380014887,0.363548825346793
-12,-7,20.5997268129158,-0.114198676451306,-1.44529690509862,-0.418973528587473,4.69945100920072,0.0161864309717473,0.459666563092617,0.223228905334931
-7,-2,7.7134030760362,-0.0418978507392489,-0.569425274632231,-0.0998702248685315,3.11473591509533,0.00682323101705874,0.362234947769906,0.112077498636266
-2,3,3.67279210220421,-0.00267327805337195,-0.328786305410985,0.00547183578217508,2.01130164513225,0.00267446601908971,0.235628122396865,0.0684195371757371
3,8,1.55773910311431,0.00261886892270104,-0.105116123577156,-0.0593378825142755,1.44162076169039,0.00239375198993636,0.164365280731482,0.0500805262286462
8,13,2.08610071765209,0.000279166049877425,-0.203263401739514,0.00917891117583517,0.776390558606575,0.00147607712196184,0.090703629091178,0.0310450508309412
13,18,1.16936581535426,0.000408985754521094,-0.136036721695003,0.024689658578845,0.425636112246582,0.000986986610202701,0.0468445264928861,0.0197928940906553
23,28,0.634159481717184,-0.000952641231431692,-0.0703159092993253,0.032591766430034,0.603682447497907,0.000500017897262548,0.0540232562544967,0.0308763225008893
28,33,3.46617530268377,-0.0311200097164316,0.161756559766772,-0.419867354195087,1.32850087468891,0.00215396208617424,0.0838308134155813,0.0855091640806685
33,Inf,17.0705257868807,-0.0745365090246549,-1.50164912138237,-0.0985030508381762,13.0164715108246,0.0572508720192811,0.823603937123698,0.787905838440857
