"method","binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
"fullba",-Inf,-17,0.75721507470066,-3.10459275747875,-1.95842812325211,2.16043324014783,19.056494832445,16.7605545658763,17.3352913004057,18.4992193269382
"fullba",-17,-12,1.93357893674872,-2.91138466051915,-2.09197650532511,2.04481158892492,13.8138428460526,14.9829929274776,17.6639339796529,18.0177981899685
"fullba",-12,-7,2.94754097461698,-0.349991642808699,-1.99784706687897,0.922343033938579,11.2004952744502,8.47984125414452,17.5561736679068,15.2910351897985
"fullba",-7,-2,3.62104829709912,2.24283704136788,-1.84842270103692,-0.585424721530932,11.3842977999911,12.2749737857038,17.1435973516161,12.2763307686764
"fullba",-2,3,3.80207029687807,2.37055531450582,-1.51568718170783,-1.92590400937224,12.1024972528004,11.368923295021,16.5488058581719,11.7012364899167
"fullba",3,8,3.33558554106401,2.41672731853517,-1.87510566695382,-2.71230951695351,11.1611633366634,10.8234193525552,13.4612482137123,12.523066335811
"fullba",8,13,2.869427047954,1.15628635371133,-1.32555702133373,-2.51369611575698,10.6103296081873,5.1575218739795,6.79924571953559,11.0628822459194
"fullba",13,18,-1.98784828160112,0.36428940201743,1.9539146321057,1.4645561027658,6.9856126017931,1.65189605394908,4.96972887904723,7.20255392892935
"fullba",23,28,-3.10575118723276,1.75745844044731,4.14140349611471,2.09855051215286,10.476215053578,6.41290385408486,9.97524766136099,11.8289859911647
"fullba",28,33,-3.69292302448508,3.52778468048236,6.05853569918914,2.19623821207887,12.0699389719632,12.2375659025935,14.1012722851381,15.0431461309258
"fullba",33,Inf,-4.11302068999593,4.34211277058376,7.01205307095434,2.0307857618578,13.2665689480549,14.7354894393236,15.6191073927688,17.7825315004429
