"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,15.0940463080801,-0.0646028975359731,-0.750973747945718,-0.809059995233686,3.19549426449308,0.0381200167925809,0.331115508442694,0.267588466373528
-17,-12,12.3784819228975,-0.0381490615791759,-0.533717502652007,-0.806347771922135,2.45910681391353,0.031713775770338,0.243166532700274,0.185663547934271
-12,-7,9.60738867794611,-0.121988670140734,-0.397157669996016,-0.393663370585646,1.83425122815372,0.0152675696368561,0.203077502697383,0.155054726607639
-7,-2,6.85312185827689,-0.0423273046500265,-0.468801595713964,-0.124781431099239,1.32869113914469,0.00614310244794735,0.159565078811215,0.0774153499858208
-2,3,4.35214072022714,-0.00265972439746406,-0.404612878262198,0.0200480500204602,0.942955577075257,0.00258740252788177,0.111492562480179,0.0439372359477785
3,8,2.30255208094053,0.00254608460670328,-0.190384215171696,-0.0394039982651757,0.652952325026687,0.00266052728784759,0.0801909002088129,0.0402587014257498
8,13,0.83112818188721,-0.00010088208759825,-0.0599827315357315,-0.0181806349679679,0.378120369443246,0.00185057385988292,0.0539013971524621,0.034425635732388
13,18,0.174298493935428,0.00034928137546801,-0.0384091233021928,0.0238915947794489,0.329623467626897,0.00138677341645052,0.040807998335376,0.0269522898849759
23,28,0.532818217158158,-0.000778915552498996,-0.0526938912926752,0.0209364886603164,0.642691477863995,0.000683861410561753,0.0595971206526293,0.0447718764871584
28,33,1.03205439498033,-0.0318162524277462,0.218376916562297,-0.168097765109368,1.15379577020886,0.0053408234663198,0.0992717317695173,0.111674150726923
33,Inf,1.57463204562756,0.00332168063850735,-0.256000831472862,0.285443990728908,1.83057901692854,0.0295647647335202,0.222901385553541,0.278428314076069
