method,binlo,binhi,intercept_coef,bindays_coef,gdppc_coef,popop_coef,intercept_serr,bindays_serr,gdppc_serr,popop_serr
seemur,28.0,33.0,2.2879596171381418,-0.018003752745081324,0.25960013200684123,-0.43436415606881579,2.8834650668266573,0.004369408707515413,0.18196864123286102,0.1845182159958977
seemur,33.0,inf,15.572974427287306,-0.071187795968337214,-1.3644402995951797,-0.068164093626320976,9.503418893083138,0.04192828267324737,0.6016812655598834,0.5814123848195901
pooled,-inf,-17.0,6.753285983216889,-0.0503564107065935,-0.1369268947026037,-0.5558651372274678,10.618971226541126,0.0673263121325503,0.9175116280074307,0.44898754302891003
pooled,-17.0,-12.0,32.45664485552374,-0.07563568047555605,-2.111885954653702,-1.251338397823611,11.244786243853783,0.05219840216362664,0.8156398054155214,0.6261890277628511
pooled,-12.0,-7.0,20.559505567914087,-0.11448127454774928,-1.4446565360077546,-0.4137064134909219,7.581602489932355,0.027189030749321375,0.7424162019690522,0.329876063995762
pooled,-7.0,-2.0,7.684559935986983,-0.041868898480335696,-0.5667606637382381,-0.0998188136168121,3.544580303185939,0.009592619083252927,0.4263597395883904,0.14066134086498505
pooled,-2.0,3.0,3.579786239562168,-0.002598399714833368,-0.31787234116501983,0.0020312001284034827,2.2328604665756124,0.0035335708310129817,0.2687279800986713,0.08113509157264664
pooled,3.0,8.0,1.5097680950256909,0.002718896168531817,-0.10013236460807036,-0.06083368932828744,1.6237384545928957,0.0035160109047125735,0.18810237100683755,0.05768331821416292
pooled,8.0,13.0,2.1108583701598143,0.0002327500483198905,-0.20542004075864506,0.009342603596803514,1.0658568600168252,0.0027645298790124847,0.13966314722484732,0.04112932895638753
pooled,13.0,18.0,1.1728783576108548,0.00038875349308887386,-0.13618862633131543,0.02471376756664168,0.613131698914924,0.001645953585283015,0.07070090089689443,0.021332422085114832
pooled,23.0,28.0,0.6430004122290622,-0.0009628701262454121,-0.07093728955093416,0.03239803699275788,1.5232183833919475,0.0010189318445716926,0.12255369416742423,0.07951017128595575
pooled,28.0,33.0,3.4703278202167547,-0.031120678079836074,0.16122048158700303,-0.4195086025721465,8.777760152509682,0.0077747567979878,0.5095558415888529,0.5519511241034744
pooled,33.0,inf,17.015985274025393,-0.07385651611274867,-1.5025759098523537,-0.09110023734157213,18.6820455263157,0.07859084108399,1.2910442906854174,0.9665256347291202
hiereg,-inf,-17.0,-9.4122765150064573,0.027840627658932183,0.90418579383621878,0.14996563061748103,28.334178534960078,0.22479356748984547,2.0411397748233178,1.8217592310294244
hiereg,-17.0,-12.0,28.585886679462742,-0.059734188194933854,-1.9408604394091769,-1.0079416338837417,11.403321824845667,0.064440207076169653,0.87557727234707006,0.60960954522298727
hiereg,-12.0,-7.0,20.954308095152925,-0.12452582250401552,-1.6355592875721532,-0.13294020425821382,8.2205936077446342,0.02677188453138837,0.64211878120373789,0.47630790737483014
