"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,-3.62824761197493,-0.0333681428750165,0.857034032018622,-0.594928787376654,12.265998634437,0.0652041482759062,1.09137967038315,0.484397258518946
-17,-12,27.5608020331183,-0.0601458137539386,-1.63758744825542,-1.28604875758274,9.07273484021997,0.0453334064633277,0.821195613821637,0.351285949836096
-12,-7,21.7573385507935,-0.113886316186597,-1.57748389621232,-0.387882660729628,4.56349411840035,0.0174870662686757,0.440964642787965,0.218934372660567
-7,-2,6.44304797678411,-0.0426194528525717,-0.418206602001978,-0.140376207140765,3.09726412171898,0.00689251318342216,0.36161192568422,0.113925336079201
-2,3,3.40263775833809,-0.00251432476169602,-0.297416196223951,-0.00312281151837838,1.93661123571926,0.0028674208693428,0.226199733458917,0.0660660944526036
3,8,2.87799485679007,0.00205421982600847,-0.254536801590087,-0.0214608548752761,1.41844030640481,0.00253790346559648,0.161537901810032,0.0484270137247552
8,13,2.4425487356047,6.883422664381e-05,-0.24219044783376,0.0183209608210086,0.741387044634741,0.00148740910380746,0.0873231556681237,0.0305071695594613
13,18,1.08726862479805,0.000442666669813581,-0.127275002035598,0.0231283736993189,0.409407208515026,0.00099298388838715,0.0447922402536075,0.0202619805459366
23,28,-0.395229383834184,-0.000356205796113362,0.0323568340257221,0.0261889499218904,0.589536374175766,0.000483060083853069,0.0518250895895318,0.0312321045220515
28,33,4.29026725755067,-0.024814380119255,0.0944683056974886,-0.457528520058454,1.2963706386877,0.00191883769629226,0.0816588315454956,0.0825947821379438
33,Inf,-10.2676326229292,-0.0495245912656246,0.247499277733537,1.16084771229897,7.51216491816739,0.0318201756328232,0.494706200821031,0.508793924407699
