"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,-0.157352234715216,0.0617373013707663,0.0471824742145968,-0.0308363574578075,1.70726393388137,0.0478108363330026,0.11865143664229,0.115939355052368
-17,-12,1.46698795900781,0.0353859022937454,0.0019943380798218,-0.180482455251487,1.60077411120487,0.0296726607687705,0.111388390048839,0.112793251852723
-12,-7,2.33561597086232,-0.0798685351467575,0.475533719567805,-0.766675340016824,1.60361648067013,0.0141711012332778,0.111524280439311,0.107276231275828
-7,-2,0.073765661471131,-0.0402566410807646,0.333410200825252,-0.348997285737556,0.871419441790473,0.0064422852384748,0.0782847840814509,0.0561928628258036
-2,3,0.452377528826783,-0.00140491788088098,0.0471802485748318,-0.096394411825688,0.704414219000811,0.00266213583084801,0.0794435313149638,0.0332413431898718
3,8,1.02836500436669,0.0030607252825874,-0.0462004271794567,-0.0751523882472833,0.759790492061662,0.002233584027502,0.0897458562083517,0.0346065120264478
8,13,1.34798768470564,0.0006186950231209,-0.12034733663946,-0.0119594584348416,0.615723676192486,0.00139229191229622,0.0743230686114781,0.02841282595194
13,18,1.06698466868333,0.000541557721306093,-0.126096134657296,0.0229826829531474,0.391620100657381,0.000981121913883157,0.0431705940160622,0.0194948123837506
23,28,0.644702271885724,-0.000946409526593304,-0.070245473962924,0.0310460575202133,0.600171886233084,0.000496850931644825,0.0535043799619716,0.0313445323508575
28,33,3.01462782213105,-0.030062878226694,0.199012325102663,-0.414788248247561,1.28953955129204,0.00211045606736272,0.0821476475997658,0.0822761728456025
33,Inf,-0.172220766847579,0.0649628552346268,0.000960802826495919,0.0259002286582584,1.73056296665358,0.0238255773545208,0.110815714535711,0.115414148822182
