"method","binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
"fullba",-Inf,-17,-24.0724317105532,0.000625897886847402,1.10970469628446,1.27007225145707,40.9215708329458,0.56964384345757,2.86087522077637,2.53727851050981
"fullba",-17,-12,4.05964231667384,0.0634012701696112,0.219396168234731,-0.520533002850326,20.0265113270528,0.147532545642388,1.41414127402879,1.26739684792203
"fullba",-12,-7,2.94446457446793,-0.0699984059275507,-0.796421710411964,0.467021382262811,5.57502995478296,0.0296425717585635,0.382082697921043,0.357699919844616
"fullba",-7,-2,2.79643947485697,-0.0117094994934078,-0.188970333064372,-0.101584900674694,5.01341660708643,0.0198727967435227,0.358385381616967,0.33212373747149
"fullba",-2,3,-9.67711882307298,0.0223988477303462,0.568859384794049,0.482617109472352,8.0360653711939,0.0244726793411243,0.599579745409216,0.536897414991314
"fullba",3,8,2.43451552471418,-0.0219709280629851,-0.560525114145207,0.26031030439669,3.67990902075861,0.00872289999406697,0.27949362560523,0.251713505321449
"fullba",8,13,-16.5075534499235,0.0278050097939932,1.56763773188161,0.39613204020685,13.3466893193136,0.0287251994035188,0.979026449441703,0.913000132016652
"fullba",13,18,8.14943190283828,-0.00209321941569351,-0.619208300763167,-0.386777288123515,5.22167282973952,0.00805843118629437,0.36839025859796,0.336524707858273
"fullba",23,28,14.7478231137594,-0.00281082485456066,-0.856006826094161,-0.850953846793119,5.03819008089388,0.00352551969766165,0.355644911761693,0.337556153859033
"fullba",28,33,4.48022850827019,0.00412479192482017,-0.65313082785809,0.0629699788153186,10.7446010766078,0.0166397093195692,0.718420802642206,0.727024987220614
"fullba",33,Inf,39.701901423121,0.0660680677825717,-4.10378535577451,-0.809789900298008,73.7560014395784,0.629022356723401,5.01048354813283,4.83767152083973
