"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,11.0559390190913,-0.0724396114914426,-0.547460032031372,-0.533078977717647,8.78430496943842,0.0622620458890229,0.671724220461092,0.486652202286496
-17,-12,12.6693193507483,-0.0886147019037288,-0.683902781783416,-0.557759812695528,6.30702751564518,0.0348336985078688,0.476951912165564,0.338813596954153
-12,-7,11.6497896856597,-0.141696985395397,-1.01415925066708,0.274750141956506,3.45575019705458,0.014378678475238,0.300547502017892,0.217550613360798
-7,-2,5.26960047797198,-0.0509832942527292,-0.173435678846496,-0.32223569915936,1.8260687909952,0.00606419746786289,0.200374585099795,0.076232777630252
-2,3,1.55200047466335,-0.00186692298327595,-0.0864917451241617,-0.053664678652919,1.38325470112814,0.00292817510121819,0.157879843116134,0.0514756108397213
3,8,0.533775063637361,0.00365620244023384,0.0101186268209303,-0.0938232041484883,0.998463561077435,0.0023502121217452,0.111351401347122,0.0396122154091987
8,13,1.97803264499837,-9.66775824983828e-05,-0.189998665453922,0.00970870450736723,0.663647366353864,0.00137561809713501,0.0766733616749925,0.0273945128813388
13,18,1.17832942566741,0.000417331942211816,-0.134726076589347,0.0214030805210699,0.408429974335211,0.000960985912030913,0.0439338902532253,0.0195033931043344
23,28,0.658562341606523,-0.000975187837545306,-0.0702769841755419,0.0294402974585847,0.589077719712192,0.000475208826367294,0.0509811412369056,0.031230056493117
28,33,3.10601483734852,-0.0311328561553395,0.174039656021273,-0.386334726328838,1.32275126479158,0.00208442502135188,0.0835833754923521,0.0838829862810384
33,Inf,10.1275941607231,-0.0628970666219781,-1.18366061694389,0.401176400533717,12.3650800352512,0.0534177350523238,0.7808392032153,0.743382051977485
