"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,0.598004625928941,0.0631738149091815,0.00607067541856401,-0.0790177394998376,0.799964323394015,0.0441714151569215,0.0706001974956837,0.0760514281384043
-17,-12,0.478770082024793,0.00348446354688399,0.201580140873508,-0.284051866140156,0.627835032895231,0.02541837026047,0.0541687270500425,0.0597415882093699
-12,-7,0.363467842435083,-0.0608428387497624,0.41745066974215,-0.447464752806131,0.495764165204914,0.0133559574409014,0.0481024215224392,0.0509082520341289
-7,-2,0.246987416637436,-0.0394717033010888,0.312700951276971,-0.344837397806154,0.388587865701582,0.00606656580147792,0.0432175418974577,0.0394696964266186
-2,3,0.142482138740488,-0.00325029845828063,0.114333269284236,-0.140352478170854,0.298312837546188,0.00252942640191664,0.0381564146368139,0.0290560434045656
3,8,0.0698273307057394,0.00214646773749368,0.0523746909995541,-0.0743330605806297,0.217239296124248,0.00189473159322016,0.03475162953715,0.0271447734713626
8,13,0.0139590011422928,-0.000179023786963132,0.0290066778655977,-0.0316634913965248,0.128150926436581,0.00125915128611301,0.0258172638941545,0.0223167768009477
13,18,0.120047030742952,0.000459537167580589,-0.0346465552231932,0.0248173436983969,0.140537015445155,0.000901441961720914,0.0213854664345728,0.0172944612952545
23,28,0.263373244753812,-0.000327040369316108,-0.00769294600360639,-0.00687231494047106,0.27982607936206,0.000402002097376509,0.0288285371002846,0.0267013509311949
28,33,0.432571938303615,-0.030573960476951,0.248920033030044,-0.136817957962263,0.445855182898976,0.00207627180952237,0.0377972655043849,0.0398582852767691
33,Inf,0.57924981001991,0.0658772779589288,0.0440072216913534,-0.126649324505108,0.638374548982831,0.0238011439644342,0.0568710061611982,0.0651668049227236
